,Month,Date,Description,$,Amount,Category,Sub_Category
,January,2025-01-20,"Microsoft*Microsoft 36 1 Microsoft Way Redmond, WA, US",$,7.67,Subscriptions,
,January,2025-01-19,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,73.52,Expenses,
,January,2025-01-19,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,100.25,Expenses,
,January,2025-01-19,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US",$,19.91,Debt,
,January,2025-01-18,Interest Paid,$,0.45,Income,
,January,2025-01-18,"SEZZLE INC 700 NICOLET MALL #640 MINNEAPOLIS, MN, US",$,17.99,Debt,
,January,2025-01-17,"DOLLAR GENERAL #22695 DG 22695101 COMMERCIAL GOODFIELD, IL, US",$,19.0,Expenses,
,January,2025-01-17,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,48.9,Expenses,
,January,2025-01-17,"PROGRESSIVE INS 6300 Wilson Mills Rd 800-776-4737, OH, US",$,63.89,Bills,
,January,2025-01-17,"JOBSCAN.CO 3 MONTHS 4616 25th Ave NE #388 SEATTLE, WA, US",$,71.96,Subscriptions,
,January,2025-01-17,FIVE LAKES (CFT) 8443588358,$,385.36,Debt,
,January,2025-01-16,Check Paid #1007,$,74.0,Expenses,
,January,2025-01-16,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,26.04,Expenses,
,January,2025-01-16,"BIZ PERFORMANCE HQ 34 Seaside Dve KINGSCLIFF, NS, AU",$,7.07,Subscriptions,
,January,2025-01-16,"AURORA FIRST, INC. APT 712 510 SE 5TH AVE FT LAUDERDALE, FL, US",$,29.99,Expense,
,January,2025-01-16,AMENTUM SERVICES DIRECT DEP,$,3122.57,Expenses,
,January,2025-01-15,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,20.65,Expenses,
,January,2025-01-15,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,99.0,Expenses,
,January,2025-01-14,"MNRD-WASHINGTON 1975 FREEDOM PARKWAY WASHINGTON, IL, US",$,134.24,Expenses,
,January,2025-01-14,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,
,January,2025-01-14,"CLOAKED 1075 Westford StreetSui LOWELL, MA, US",$,9.99,Expenses,
,January,2025-01-14,CAPITAL ONE MOBILE PMT,$,2.83,Debt,
,January,2025-01-14,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,90.33,Expenses,
,January,2025-01-13,"DOLLAR GENERAL #22695 DG 22695101 COMMERCIAL GOODFIELD, IL, US",$,36.0,Expenses,
,January,2025-01-13,Alpaca Securitie EDI/EFTPMT ISA*00*          *00*          *01*006930416ISO   *ZZ*ISOALPACA      *250113*140,$,100.0,Expenses,
,January,2025-01-13,COINBASE INC. 8889087930,$,300.0,Savings,
,January,2025-01-13,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,53.88,Expenses,
,January,2025-01-13,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US",$,12.7,Debt,
,January,2025-01-13,"Cracker Barrel 305 HARTMANN DR 800-3339963, TN, US",$,36.01,Expenses,
,January,2025-01-13,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,31.68,Expenses,
,January,2025-01-12,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,9.23,Expenses,
,January,2025-01-12,"PAYPAL *QUANTECHDAT 7700 EASTPORT PARKWAY 4029357733, CA, US",$,9.95,Debt,
,January,2025-01-11,"AMAZON.COM*ZD3JJ09Y0 AMAZON.COM SEATTLE, WA, US",$,14.93,Expenses,
,January,2025-01-11,"MEDIUM MONTHLY 548 Market StPMB 42061 SAN FRANCISCO, CA, US",$,5.0,Subscriptions,
,January,2025-01-11,"LJS #70333 140 N. MAIN STREET EAST PEORIA, IL, US",$,44.46,Expenses,
,January,2025-01-10,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,17.36,Expenses,
,January,2025-01-10,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US",$,1.99,Subscriptions,
,January,2025-01-10,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,28.02,Expenses,
,January,2025-01-10,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,10.79,Expenses,
,January,2025-01-10,"MCDONALD'S F37176 161 SPINDER DR EAST PEORIA, IL, US",$,18.0,Expenses,
,January,2025-01-10,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,20.0,Expenses,
,January,2025-01-10,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,40.0,Expenses,
,January,2025-01-10,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US",$,4.25,Subscriptions,
,January,2025-01-10,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,61.85,Expenses,
,January,2025-01-09,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US",$,9.59,Expenses,
,January,2025-01-09,"FARM & FLEET OF MORTON, IL, US",$,60.51,Expenses,
,January,2025-01-09,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,8.1,Expenses,
,January,2025-01-09,"KLARNA* TEMU 629 North High StreetSu COLUMBUS, OH, US",$,8.49,Debt,
,January,2025-01-09,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US",$,0.99,Subscriptions,
,January,2025-01-09,"ROOT INSURANCE 80 E RICH ST #500 6149150703, OH, US",$,231.17,Bills,
,January,2025-01-08,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US",$,31.02,Expenses,
,January,2025-01-08,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,4.68,Expenses,
,January,2025-01-07,"CULVERS OF MORTON 121 EAST COURTLAND ST MORTON, IL, US",$,28.64,Expenses,
,January,2025-01-07,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,
,January,2025-01-07,"HP *INSTANT INK 3400 Hanover St 855-785-2777, CA, US",$,21.23,Subscriptions,
,January,2025-01-07,SCHWAB BROKERAGE MONEYLINK~ Future Amount: 500 ~ Tran: ACHDW,$,500.0,Expenses,
,January,2025-01-06,"Klarna temu Corporation Trust Cente Wilmington, DE, US",$,16.04,Debt,
,January,2025-01-06,"KLARNA* TEMU.COM 629 North High StreetSu COLUMBUS, OH, US",$,7.88,Debt,
,January,2025-01-06,"SHELL OIL 574266457QPS 211 E PEORIA ST GOODFIELD, IL, US",$,22.04,Expenses,
,January,2025-01-06,"SHELL OIL 574266457QPS 211 E PEORIA ST GOODFIELD, IL, US",$,86.0,Expenses,
,January,2025-01-06,Mission Lane LLC EDI PYMNTS,$,25.0,Bills,
,January,2025-01-06,AFFIRM INC AFFIRM PAY~ Future Amount: 11.9 ~ Tran: ACHDW,$,11.9,Debt,
,January,2025-01-05,"ARBYS 7525 9015 N ALLEN RD PEORIA, IL, US",$,14.58,Expenses,
,January,2025-01-05,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US",$,26.7,Debt,
,January,2025-01-04,"HARBOR FREIGHT TOOLS 1 EAST PEORIA, IL, US",$,48.26,Expenses,
,January,2025-01-04,"IN *CALDWELL RENTALS D 85 SERVICEMASTER DR 731-6422247, TN, US",$,175.0,Bills,
,January,2025-01-04,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,1.36,Expenses,
,January,2025-01-04,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,1.38,Expenses,
,January,2025-01-04,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,63.33,Expenses,
,January,2025-01-03,"MNRD-PEORIA 2627 W TOWNLINE ROAD PEORIA, IL, US",$,16.0,Expenses,
,January,2025-01-03,"OREILLY 6757 PEORIA, IL, US",$,525.35,expense,
,January,2025-01-03,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,108.37,Expenses,
,January,2025-01-03,"AUTOZONE  4466 9003 N ALLEN RD PEORIA, IL, US",$,27.01,Expenses,
,January,2025-01-03,M & T MORTGAGE MTG PYT,$,1404.9,Debt,
,January,2025-01-03,FIVE LAKES (CFT) 8443588358,$,385.36,Debt,
,January,2025-01-02,AMENTUM SERVICES DIRECT DEP,$,3019.78,Expenses,
,January,2025-01-01,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US",$,55.95,Expenses,
,January,2025-01-01,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,28.59,Expenses,
,January,2025-01-01,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,28.16,Expenses,
,January,2025-01-01,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,32.0,Expenses,
